@RELATION sentiment_analysis

@ATTRIBUTE cleaned_review STRING
@ATTRIBUTE sentiment {negative,positive}

@DATA
'perfect works well',positive
'give phone 2 cuz would work would send receive picture messages would connect internet worked wifi build quality superb purchased blue studio energy work perfectly loosing one forced purchase one also noticed battery life wasnt long studio energy',negative
'pleased phone order',positive
'smarphone',positive
'full features may want carry extra battery',positive
'good phone perfect',positive
'bought phone sis loves jamaica phone working fine however blu phones normally comes clear case package one come also earphone box',positive
'sweeeeeeeet',positive
'upgraded xperia z2 dual sim z5 im happy purchase logical upgrade everything however sony made decent upgrades exposed charging port 100 better old hidden flap side phone also finger print reader works flawless hidden power button side speed performance wise ill say snapdragon 810 mild improvement snapdragon 801 z2 noticed phone gets much warmer tasks backups downloading larger files tasks surfing web however water resistant phone cooling easy running cool tap water front back phone battery life also less get full days use without much issueusing dual sim feature awesome dont need carry 2 phones around phone also makes easy switch sims 1 2 without physically handling sim cards',positive
'bought husband already blu smart phone self love brand phones smart phones likes keep simple anyways needed new phone seen simple one blu decided get 20 something bucks bad get internet radio mp3 mp4 player upload music files like said simple phone thats husband wanted got simple mobile dual sim kit activated morning thats phone services check tho first make sure service area read negative reviews figured phone stop working end world 20 something bucks always get new blu phone',positive
'product arrived good condition 100 functional operational',positive
'great product',positive
'bien',positive
'recieved package back july 2012 needless say happy custumerproblems phone battery day one',negative
'blu awesome great phone would luv review future phones went one mixed feeling pleased doesnt feel like low end phone durable functions work well fast loading large beautiful screen pleasantly surprised new cell phone company life future luv u blu',positive
'es un telf muy completo mi hija quedo encantada le puse la linea movistar aqui en venezuela trabaja super bien',positive
'great phone time lasted never updated phone os like promised bought started problems phone disconnecting held phone close bottom sound volume always seemed low side great cameras nice picsthe back button stopped working phone would get really hot times one year eight months phone going bye bye wont buying blu time',positive
'great phone',positive
'love iphone 6s 64gb right screen size right storage worries',positive
'phone received verizon stated dont waste time money',negative
'fast looks good beggining runs hot back cover original',positive
'great phone enjoying expensive recommend',positive
'bary good',positive
'excelent',positive
'got moms birthday loves upgraded lg leon bigger screen ability things faster great upgrade loves personally like lot leather back beautiful good price',positive
'really like phone currently two working sim cards inclusion case screen protector really nice would otherwise difficult find case things find disappointing are1 camera auto focus flash though good based previous reviews surprise me2 every menuhomereturn buttons unresponsive wish built actual screen instead3 volume button fact large directly opposite power button means turn phone one hand inadvertently hit itall things considered really enjoy phone would recommend others',positive
'nice phonebut im getting 3g network mobile',positive
'yes',positive
'awesome',positive
'wow amazed phone perfect seller service amazing thank much beautiful phone doesnt even look used perfect condition bought grandma feel like keeping myselflol super fast shipping came sooner expected definatly recommend seller regret',positive
'love phone',positive
'super excited receive item saving money purchase lg v10 first 3 weeks working well fingerprint sensor stopped working started getting slower didnt know happening take good care stuff always make sure phone clean make sure stop running apps im using three half months purchasing lgv10 call phone started making really weird high pitched noise died tried hard factory reset didnt work purchased new battery thinking might still didnt work looked online found common lg phones dont recommend buying lg phones',negative
'excellent',positive
'kinda small',positive
'phone came right battery last two hours damaged buy new batery',negative
'great phone would recommend others',positive
'aside relatively quickly dying battery phone good please sure understand carrierservice providers cellular phone requirements buying',positive
'fifth phone model within 4 months lets hope honor year warrantyi cant honestly recommend phone anyone previous model 500 solid phone rendition certainly',negative
'excelente',positive
'worked 10 minutes turned couple times never went back dissapointed',negative
'worked good although heavy scratch glad works well thanks',positive
'phone work purchase gift embarrass wish could refund phone',negative
'item described',positive
'cellular good little dated 2016',positive
'buena',positive
'celular 100funcional en venezuela',positive
'like reviews success jitterbugheres story family got together pittsburg pa attend nieces wedding pooled funds stayed resort house parents complete ancient cell phone carrier sister witnessed mother charging phone morning mid afternoon cell phone diedmy sister said time get parents new phone jitterbug anyonei took responsibility ordering programing phone mailed parents first resisted saying theres nothing wrong old phone tried agreed liked phone text capability well still getting used new featureoverall great phone',positive
'ok',positive
'love',positive
'excellent product fast smartphone reliable strong',positive
'regret first smart phone best choice ever made excellent item thank amazon positive experience online purchase',positive
'nice device price little slow ram otherwise fits needs',positive
'bought phone gift wife loves loves features great product great price',positive
'fell apart slow',negative
'phone several major problems first headset headset socket headset cable short comfortable use first thing tried get adapter try use different phones way headset socket deep inside adapter work properly im stick ugly short headset good headphones cannot use another problem noticed gps doesnt work wrote store immediately answered suggested root phone change config buy phone expect work box another problem skype loud speaker skype session cannot turned use camera stick headphones comfortable back button sometimes reacting press several times ill never buy phone againupdate rooted phone tried fix gps installed fasterfix software became little better still takes long fix replacement headset works phone available aliexpress site 2 versions red headset horrible black headset less ok unable find headset adapter compatible phone connecting headphones standard connector question',negative
'camera quality could much better really expected compass sensor battery life minimal back button left feels bit counter intuitive states 8 gb memory barely gives 5 really tempted send back want go hassle getting choice aftermarket cases also limited',negative
'received phone days ago phone replace samsung mega 63 plugged family mobile sim card phone zero problems making receiving calls sendingreceiving text messages phone also matches girlfriends galaxy s3 2gedgehspa coverage tmobile uses band 2 band 4 band 12 lte coverage phone picks band 4 lte places end hspa girlfriend gets lte seem affect speed internet connection much tmobile throttles prepaid mvno accounts 6mbps making lte moot point display quality responsive interface huge upgrade samsung mega 63 advanced users note huge lack bloatware device want clear remaining unused apps download kingoroot xda forums easily root phone without pcif see update review next weeks assume phone continues work flawlesslyi also cricket galaxy note 4 try swap sim studio 60 give coverage feedback time',positive
'bad condition mention 3g',negative
'ok',positive
'edit phone grown lag issues remain screen feel really nice maybe latest update something color production though vibrant normal state colors feel really true beautiful watching video light good build really liking phone wees imprressions pros build quality metal feels nice grippy hand light camera good price got iit 240 price good valuecons biggest problem phone battery life htc m8 eve 18 mths lssted whole day phone barely oes till 5 pm mordeerate mild use need keep charging lot top cant use old charging cables annoyance problem screen sure describe dull switched noticed lot much still vibrant lag much bother still noticeableit decent phone especially given price battery life issue better screen would nice',positive
'love phone im 2nd one wish microsoft kept one built future phone one',positive
'love otterbox products best device protection get fits perfectly still access external ports problem',positive
'nice phone',positive
'excellent phone glad didnt waste money iphone need',positive
'received used phone phone freezing right box charger old one headset blackberry headset',negative
'good phone',positive
'samsung',positive
'great product brought stone age',positive
'actually purchased daughter ready upgrade wanted phone little worried reading reviews carrier straight talk reviews said phone wouldnt work locked receiving hurried called carrier got switched put sim card 20 minutes later running absolutely loves',positive
'gracias excelente',positive
'phone works well havent experienced problems barely noticed light scratches',positive
'nice',positive
'box showed previously owned mind amazon good refurbished gently used products fully charged phoneno problems downloads great storage awesome less year later batterywill hold charge finding one product ridiculous return policy done bright orange worthless beware buying product',negative
'purchased phone one like like features flip phone using years dont want learn new phones want simple phone calls texts pictures phone great however purchased one set aside didnt know transfer stuff old phone figured would get help eventually old phone dropped many times tape together keep battery finally stopped best buy help transfer stuff old phone new phone could done phone purchased sat several months locked waited could return',negative
'got jitterbug greatcall service offered seniors etc mom loves little red phone big print easy use instructions course works greatcall service',positive
'excellent',positive
'phone lost',negative
'initial review product updateyou reading review probably decide wether buy phone customer tell please phone really really good ive put phone paces slowed freeze everything expensive galaxy s6 edge come think 450 get premium build phone great processor really good screen fast charging 20 trust amazingly fast zte build phone insurance phone states hi fi sound suggest opt 64 gb version honestly cant think single reason edgy recommend phoneive using phone weeks say love ive owned iphones galaxy phones last 5 years dont think worth money frankly hope zte continues release great phones like near future',positive
'husband brags phone time glad hes happy',positive
'phone ordered original blackberry q10 would known would never placed order want money back icons menues gave away watching unpacking videos original phone youtube doubts',negative
'phone awful super slow restarts daily battery dies way fast even im using',negative
'duped deal phone supposed 4g unlocked first work box next seller refused take back without restocking fee paying return shipment att said unlocked properly certainly done samsung done attempted probably seller importing us evidenced pins wall charger already voided oem warrantyso instead incurring restocking fee return postage took local guy unlock regardless said run usa 4g network unless unlocked properly samsung stuck 4g capable phone working hspa recommendation buy unlocked phone unless factory unlocked samsung',negative
'three phones reception problems phone often goes emergency calls mode screen reads service nokia sitting right next perfect reception',negative
'amazing screen quality really fast phone hope installation lollipop good',positive
'im happy unlocked galaxy s7 like size excellent camera good battery life would go edge model large expensive came uk type plug charger also adapter us outlets better europeanus unlocked great travelers carry sim countries visitlive',positive
'love device physical outlook performance lot drawbacks cant understand talking phone poor sound quality using 15 days already lot problems coming recommend',negative
'arrived time good wont upgrade os shows update available phone connected wifi os update stays 0 disappointed current android os version 43 update 44',negative
'one 2 phones come failure wifi',negative
'good sell good iphone thankyou',positive
'yes using perú without problem',positive
'product seems brand new problems phone scratches dents happy',positive
'bought case went traveling keep id credit card times hotel card didnt lose itthis case provided great protection phone still able hold important cards items wanted keep even closer walletwould reccomend anyone',positive
'arrived good shape works wonderfully',positive
'havent yet figured use exceopt making receiving calls',positive
'phone hot signal hopefully guaranteed',negative
'phone weeks worth every penny love',positive
'good item',positive
'phone works perfectly fine',positive
'performance features top android phones onefourth price excellent value',positive
'bought phone gift grandsoni go work friday 13th friends took local att store got activatedhe loves',positive
'posted review week got phone im retracting review 2 weeks got phone volume stopped working luckily insurance previous phone carried one brought sprint dealer told loud speaker blown also associate also told 5300 calls made phone phone activated great news hear spent money new phone next problem came week later phone completely stopped charging leaving switch batteries husband could charge dead one brought back sprint dealer informed complete usb charging port phone damaged sodderspleft seriously month crap oh yeah make sure insurance charge 100 replace phone luckily brand new phone sprint 700 reason return',negative
'ive using motorola since december 2014 started using 2nd gen moto g 3rd 4th thought fast simple ive missing outspeed lightning feels ashamed ive done sideside tests phones remains king ive never used anything fast thing might beat pixel yet try outscreen perfect uses cant tell difference quad hd except color still bright vivid cant find flawsstorage could gotten 64 gb would isnt outyetcamera great camera best really matter though still really nice shooterbattery thats really shines everything else great almost unreal working history project friend got 65 hours screen time 42 battery left im ecstatic thisconclusion get phone rival battery life yet performance still par seriously youre looking new phone look stock android everything really get',positive
'blackberry torch 9800 unlocked phone 5 mp camera full qwerty keyboard 4 gb internal storage unlocked phone warranty blackthis product complete rip buy selling used phones price new ones pains spend money stuff phone refuse charge battery die coming box screens also refuse workamazon need something types suppliers data base',negative
'complaint yet bought 5 havent problem non',positive
'hi thanks service im questions happy purchase excellent product',positive
'best phone ive ever bought beats iphone 5 pictures incredible',positive
'good',positive
'seller great phone drop wifi litle trouble low wifi signal note3 fine',positive
'good',positive
'buy phone bought 10 months ago already damaged fault screen blinks impossible read anything camera poor resolution spend money phone upset made purchase',negative
'axon pro offers best one great warranties beatable many cant touch waiting pro arrive 2g ram32 4glte snapdragon',positive
'blu 60 excellent decided upgrade blu worse seems like bad operating system freezes every one hour kind magical stuff meaning like functions also keep wifi connection keep reconnecting wifi every 15 minutes using phone caribbean morning saw crack across screen inside never seen',negative
'fraud ordered best price mobile received dummy phone usb cable plastic dummy phone gamestop charger arab manuals buyers beware filed fraud complaint amazon',negative
'phone work great clear help alot vacation countryi truly recommend phone',positive
'love phone super fast screen picture quality amazing popped tmobile sim card micro sd good go transferring contacts easy love full bloat ware apps dont want also thin heavy although feels solid good quality',positive
'purchased phone friend absolutely loves still talks day',positive
'great phone price really nice design screen little bigger like taste thingat first doubt buy one live mexico att unlocked sure work comments 4g network issuesafter reading couple reviews take shot bum problems mobile network alsoafter spending hours figuring reading post finally get mobile data working mexico telcel network may bethe resolution countries althoughbe ware mobile hotspot dows work att unlocked seems block att activate hotspot carrieri notice apn defined phone ask friend let copy settings apn everything works basically wasgo settings mobile networks access point names access menu new apncopy profile phone company start working password required casesave apn mobile data immediately workinghope helps someone elseim mexico buy phone ushope helps somebbody else',positive
'enjoy fingerprint addition people nearby touch home button unlock phone without anyone lurking see enter unlock code',positive
'everything ok',positive
'excellent conditions brand new problem',positive
'mine att would take att sim card',negative
'one best cellular midrange ever new one every 34 monthsthe right size works fast nice good quality good battery lifei try water normal life drops safeprice also good less 250 dollar excellent deviceone month later still excellent impression good phone low price pay much apple samsung lg',positive
'everything good would amazing microphone worked though supermely annoying cant make calls would gotten 5 star problem ut gets one',negative
'phone indeed unlocked international version powered arabian help youtube able quickly get changed english fantastic phone beautiful richly colored display smooth quick operation never hangs freezes like previous phones owned extremely responsive screen battery lasts longer thought would',positive
'good phone good price',positive
'shipped quickly phone fully functional',positive
'happy blue studio 70 llama',positive
'good product excellent presentation',positive
'regrets received product two days promised date im completely satisfied phone neat sleek perfect design none bloatware software side makes better also black definitely right color choose comes phone',positive
'phone pretty great brought msd slot color cell quality let tell exceeded expectations isnt flagship killer anything silly like smartphone certainty nice budget phone within scope web browsing video watching music listening file transferring secured place perfect alternativethe camera decent call quality superb problems phonefor one stock launcher phone pretty unappealing would suggest alternative like google launcher go launcher apex launcher etc developer options come unlocked want flash cyanogenmod something like onto also seems problem screen rare times press power button turn screen screen wont respond backlight first time encounter probably turning phone wondering whats matter find use thumbnail snap little opening bottom right phone screen come back normal despite phone works dont expect samsung s7 quality performance unless youre attempting play graphically intensive game aokoverall phone nice pleasure hold lasts good day heavy load bluetooth comes lot stuff remote sensor phone isnt advertised directly kind neoixs niche works really wellneoix plans release new phone coming months one running android 60 presume 25d screen phone may drop price get 100 even less thing hands beats blu bluboo phone range wait price drop would say yes get new neoix phone releases around 200 current price fine however need relatively cheap phone call folks basic phone things phone definitely',positive
'dont work sim cant return',negative
'great',positive
'new box battery beyond dead took minutes charging batter icon appeared phone came alive half way charge working great inserted sim hard push paper clip open slot called tmobile gave phone serial number instructions show display number sim serial number working great nice sized phone phones keep getting bigger phone great display fits comfortably hand',positive
'good',positive
'phone arrived yesterday several days early phone looks nice except minor scratches area around camera tiny chip corner thats expected phone thats purchased new phone activated straight talk works wonderfully would absolutely buy',positive
'delivered fasteverything advertised new unlocked',positive
'looked great delivered quick died could longer return itthe ear piece works min fades outseems odd cant seem get ahold vendor resolve',negative
'impressed phone wife using right issues upgraded windows phone 81 compatibility issues',positive
'brought tow one work',negative
'ok',positive
'good fone oh',positive
'excellent phone enjoy lot since received made good buy great blu product thank much',positive
'phone came amazing shape scratches damages works 1010 keep good work',positive
'compre el telefono en oferta supuestamente por 165 dolares pero cuando lo entregan encuentro con la sorpresa de que enviaron cualquier telefono diferente al htc touch diamond para ser preciso enviaron el htc touch dual p5530 para peor adquirido 2 unidades es una verguenza',negative
'meet expectations',negative
'im enjoying every minute using five stars every features found new brands power huawei seller many thanks timed delivery really nice business w',positive
'outstanding screen quality powerful performance huge internal memory camera ok heats little bit though think reasonable 4 stars finishing maybe galaxy iphone better zen phones price virtually unbeatable',positive
'good would expect 800 bucks',positive
'greatso far good',positive
'great phone problem could get external memory card slot actually broke piece otherwise great money wish keyboard like samsung swipe type feature',positive
'pleased love new phone thank quick efficient seller',positive
'excelent',positive
'bought gift someone one day tracker pad stopped working gift one living outside usa makes even frustrating',negative
'refurbished returned right away glitches upgrades would help difficult use keys split open side month',negative
'product came worked week stopped chargingit stopped recognized usbamazon told return costly l ended using stateitsnokia n97 unlocked phone touchscreen 3g 5 mp camera agps 32 gb microsd slot integrated ovi applicationsus version warranty black hell',negative
'loved new phone',positive
'excellent service gsm wholesale first device defective went great lengths ensure received another one working condition best outfit ive dealt amazon',positive
'excelent 100',positive
'seems good ive used found slow expectation totally bad',negative
'extremely fast shippingamazing phone dont believe people negatives phone nothing like phone recommend everyone',positive
'goodexcellent',positive
'great phone great seller',positive
'first phone received work properly come original box stated phone returned new device shipped promptly however 2nd device work properly either charger work original box stated neither phone came original accessories statedwhen charger replacement phone plugged pop clearly states original correct charger nothing phonei purchasing seller',negative
'ok',positive
'sucksit turns battery gets real hot slow cant install apps hate',negative
'easy nice clear screen happy apple',positive
'extremely satisfied purchase quick delivery phone like brand new original receipt apple warranty end june 2016 👍👍👍',positive
'missing accessories',negative
'al good',positive
'good lost money cant charged phone batteries burnt arrival charge last 1 hour constantly lend phone daughter charge note phone works one zero rating 0',negative
'buy phone uthink u able use boostmobile cause u cannot evrything else great phone price service',negative
'fast alsome great gift',positive
'excellent',positive
'great apps time figure use',positive
'met expectations seller phone xmas gift daughter super happy phone',positive
'exelent phone camara great speaker loud procesing perfect battery last day even playing games ive playing fut 15 5 hr still 65 batterylifeam really happy phone 1 complaint screen digitalizer wich somtimes sensitive screen colors vivid rich blu phones hope lollipop updade chance minor effects phone great worth money totally recommend blu phones anyone',positive
'oh love phone unfortunately made mistake buying used refurbished problem update got stuck turning shame wonderful product lot time continue review squared away returned today shall see long takes said done update however im fairly certain simply spent extra money brand new one would telling much like phone suppose certain things pays buy new thats fault still think great phone',positive
'buen producto',positive
'ordered new phone got one refurbished touch screen kept freezing respond',negative
'great phone great features serviice',positive
'excelente seller love new phone',positive
'phone touch screen really need know becase doesnt work someone please answer question',positive
'phone lasted 4 good years worked well upgraded 7 last week honestly like difference screen 7 bigger didnt see much difference camera like small phones scared dropping big phone phone gets job phone done',positive
'wanted get unlocked phone freedom affords decided get blu phone curiosity wanting try brand long time already bought white blu studio c 55 another customer stated let us confuse word “cheap” device certainly economical means cheapbecause already active account activated studio c 55 metropcs three full days using say far good phone pretty much happy iteven remember highend phone affordable price paid witness say compares favorably similar devicesdesignwise beautiful phone looks much highend speed impress anyone paying 700 still speed good volume somewhat disappointing especially using speaker calls sounds pretty loud listening music good quality earphones included along case screen protector excellentas far battery life jury still keep closer eye regard far may phone’s weakest pointwould recommend phone certainly would would consider another blu device comes time upgrade bet already sight set vivo air lte vivo 5',positive
'excellent',positive
'dysfunctional keyboard fix',negative
'barely hear speaker',negative
'love phone perfect',positive
'good phone price cracked screen somehow remains functional keep using get identical replacement needed',positive
'love using metropcs',positive
'excelent¡',positive
'excellent product recommend',positive
'motorola droid arguably one best phone series creation due physical qwerty kyeboard previous phone note 3 cease function decided buy droid 2 global due physical keyboard ive got say im thoroughly impressed phone price paid phone supports gsmcdma bandwidths ideal choice someone youre wireless carrier verizon blocked gsm carriers little bit tweaking get droid 2 global work us carrier requires unlock code radio band mod regards software wise phone cant compete current phones due specifications youre light smartphone user issue wont plague complaint battery life droid 2 global notorious abysmal battery life cant complain due price purchased droid 2 global overall phone aged device excellent choice youre browsing cheap phoneps seller chubbies tech well praised package came house one day estimated shipping date amazon description condition phone also completely accurate like new condition also excellent job packaging thanks chubbies tech made day',positive
'owned phone days like much far screen awesome bright sharp makes great pictures although surprised find need unlock phone take pictures see possibility pranks unauthorized picture taking phone works fast compared old smart smartphone amazing things changing phone lightweight charges fast battery last quite long time signed metropcs main complaint go store activate phone would accept phone online list ancient phones bring page probably discourage people buying phones places buy sim card store online walmart 10 metropcs guy wanted 25 cardupdate got second s6 phone white family member activated ting service easy needed order gsm sim card takes days arrive activate phone sim card phone thinking switching service ting',positive
'great deal thanks',positive
'awesome phone price real iphone7 contender u toob videos saw iphone7 beat phone loading videos game playing tad works fine att issues item opinion phone 95 iphone7 half price opinion honor 8 5x good enough 95 smart phone users every product proscons comparing phones cant say much camera quality use phone know takes pictures gui seems fine also buy lwang nillkin glass screen protector silicone case help protect phone batt life seems par phones similar size since android recommend put antimalware app use paidfor webroot subscription gives antimalware ability manage device remotely tracking lock alarm etc etc',positive
'gave mom really loves would recommend getting',positive
'terrific',positive
'otterbox cases firstrate 3rd case ive never issue damaging phone inside one',positive
'bellisimo',positive
'good phone',positive
'awesome thanks',positive
'husband love phone simple works perfect audio good camara good uses speaker lot instead grabbing phone',positive
'amazing put two sim cards phone technology really progressing',positive
'works great',positive
'came defective seller battery drains alarming rate whole phone shuts 20 30 power sure seller got clearly bad unit',negative
'purchased phone amazon phone still warranty stopped working contacted posh directly helpful resolving problem explained could longer hear incoming calls purchased phone use overseas working rep agreed replace phone great customer service',positive
'awesome',positive
'really love works really well',positive
'love phone unfortunate mine att tower dont get good service phone great would recommend',positive
'phone arrived looking working like new first smart phone dont mind technology couple years old considering paid less 13 cost phone cost first released',positive
'phone problem wifi sometimes cant join start wifi turn remove battery wait couple minutes turn work fine',positive
'used 1 month far wow great phone valueprice ratio packaged nice still cant believe anyone would pay much apples peach value',positive
'product everything expected delivered time well packed thank',positive
'phone less 9 months worst phone ever lgg2 earlier worked nice almost 2 yrs went ahead bought g4 phone could seller unlocked g4 phones g4 general battery worst first day usage battery used drain less 2 days without data wireless kept bare minimum test soon started wireless battery started drain less day lte started drain 100 15 4 hrs almost keep charge almost every hour day work phone doesnt suddenly turn offtoday june 1 less 9 months purchase phone suddenly turned wont start anymore shows lg lifes good logo stays way way contact amazon seller needed see done really hoping someone would fix',negative
'thins phone work 3g orange provider service dont think factory unlocked',negative
'blackberry passport next levelmust',positive
'excited get phone sad say garbage display difficult see lighted areas text software seems taking memory cuz gets slower unresponsive word flimsy flimsy bummer',negative
'excellent good product arrived time waited thank',positive
'love',positive
'love phone ive used days im blown away professional ergonomic design love way handles easy use understand concerned would big perfect far im happy purchase would definitely recommend friends',positive
'got decent price around 450 purchased bit bullet phone iphone 6s broken beyond repair removed sim card iphone 6s inserted iphone se plugged itunes viola beautiful operating phonewhen opened brown shipping box surprised didnt pad inside everything great shape white iphone box still sealed phones protective film scratching im sure issue since removing anywaythe thing wouldve made experience better would faster shipping beggars cant choosers',positive
'thankfully good product',positive
'used cellphone account security copies',negative
'satisfied purchase liked',positive
'excellent phone considering price fact got mine refurbished piece quick responsive used straight talk net10',positive
'ok overall delivery delayed week user experience excellent price',positive
'excellent phone love phone high gama inside phone',positive
'compre este celular desde venezuela llego super rapido en perfectas condiciones nuevo con todos sus accesorios le coloque mi slimcard de movistar funciona perfectamente levanta 3g',positive
'purchased phone amazon months ago ive waited submit review opportunity truly evaluate use thought id weigh review looking alternative unlocked world phone nokia e71 answers call okay joking aside e71 smartphone quality look feel constructed well made finland lightweight userfriendly e71 runs symbian s60 os provides familiarity owned nokia phone e71 purchased came nokia gps free part symbian s60 3rd edition pros running symbian os utilize great deal apps sale free another app comes mind joikuspot turns e71 wireless hotspot pros speakers handset loudspeaker form factor ease use switchable home screens work personal keyboard layout wifi camera w flash etc smartphone taken life organization whole new level intuitive easy use calendar seamless email messaging setup also great deal accessories smartphone last least call quality great e71 experienced issues clarity 1 dropped call since ive owned suspect due low cell signal edge tower time overall im pleased smartphones features ease use build quality',positive
'great product great warranty would advice anyone buy company',positive
'ive month problems activating verizon works like new phone',positive
'good',positive
'sony phone purchased gift received checked thought looked like amazing phone money definitely unlocked large part selected',positive
'disappointed purchase im problems sending mail iphone ipad well aolcom email doesnt send email im receiving email email account try send message says password username incorrect please help thank',negative
'bomb',negative
'works great',positive
'awesome phone',positive
'good phoneonly put sim ready used',positive
'international lte version great phone phone use g900f firmware ie hongkong versionbut factory sealed maybe opened checked retailer',positive
'phone longer working put charger overnight went turn next morning got nothing white screen didnt even last 2 months cannot returnedwhat joke needless say im highly disappointed cannot run buy another smart phone fits needsthe phone dropped damagedshame amazon',negative
'love phone great condition iphone 5 5s payed 5s 5 shipping quality phone great wanted 5s',negative
'dont google play market big waste cant download date apps would never buy phone hate phone passion buy',negative
'buying new phone replace old one little know buying demo phone say demo phone',negative
'love many features capabilities mobile phone exceeds expectations needs phone searching att unlocked phone received tmobile unlocked phone particularly happy still able get phone activated pleased performance',positive
'good phone recommend phone people desire dual simply phone excellent camera',positive
'best phone ive ever ive owned iphone sony nokia best sense',positive
'love phone',positive
'phone works great great condition',positive
'nice',positive
'love phone much bought six entire family windows phones great',positive
'god',positive
'barely hear people talking otherwise superb phone',positive
'great phone loved expecting htc great display great audio fast best best design android',positive
'works likes dream',positive
'excellent',positive
'good rugged construction say apple iphone 6 plus case makes big phone even bigger way phone cases manufacturers didnt hold type use need far one seems like last much longer time tell bit costly say get pay',positive
'phone bought would hold charge 6 hours disappointed',negative
'ipad mini ok lightning cable original',positive
'excellent',positive
'loved excellent seller',positive
'excellent condition',positive
'gift loved problems far',positive
'cheaply made power button broke cant turn',negative
'top class service buy',positive
'time great product',positive
'es un telefono realmente bueno muy practico permite estar conectada mis reedes sociales mi correo habitual sin necesidad de contratar servicio de internet por conectarse mediante wi fi cualquier red habilitada ademas de todas las funciones propias faciles de manejar que poseen los telefonos nokia es un telefono libiano se adapta muy bien la mano comodo para llevar el color es realmente bonito sobretodo original',positive
'excellent product works well even low signal camera superb super happy value money',positive
'time far product excellent',positive
'family bought 4 different s5 phones company zero issues would recommend phones someone looking latest greatest wife s6 cant replace battery cant add memory isnt water resistant seems like samsung went wrong way s6 everything s6 doesnt s5 has11302016 update 4 phones still working like box',positive
'excellent phone big screen great price highly recommend',positive
'weary nice cell working two sim card fast delivery thank',positive
'took literally 2 business days come said 35 days phone awesome thing problem came weird charger plug attach adapter thankfully came phone well technically charger plugged adapter plugged outlet hassle phone amazing',positive
'love',positive
'touchscreen completely unresponsive two weeks without dropping anything',negative
'phone perfect intended straighttalk use buy nano sim straighttalk activate couldnt happy',positive
'works great',positive
'bought phone replacement smart phone son phone liked didnt touch screen always seemed break smart phone phone great everything came great condition thanks',positive
'great',positive
'happy thought unlocked cant activate anymore',negative
'purchased phone 90 year old grandfatherit large numbers easy setupit also fm radio need headphones order use',positive
'arrived time day new iphone love',positive
'phone works fi ne except freezes unexpectively happens everday least twice day would recommend phone unforunately three haif months stuck fustrated say least',negative
'keyboard small letters',positive
'phone worked well mexico able buy sim card airport minutes well even played radio',positive
'exelent product good 100 recomended',positive
'good',positive
'got phone house phone kids able run around working great battery still first charge pretty much still 100 percent connected tmobile 10 minutes',positive
'bought phone based rates phone various number defects like looks cheap made battery doesnt last thank one day maybe 4 six hours overheats',negative
'mom loves much phone likes ever',positive
'excellent product',positive
'thanks',positive
'sleek stylish phone easy use problem receiving pics warns roaming charges continue im getting charged bit annoyinggreat camera easy use prefer uncomplicated devices doall good phone price',positive
'cute phone simplicity average one performance highend cellphone thanks',positive
'secondhand onethe model sqn1002 3 international versionthe screen bad darkthe box q10i bought usps cant take back amazonso suggest buy',negative
'many callers complain could hear regular speakerbut try put speakerphone canhear even less would buy againalso six months battery hold charge',negative
'nothing wrong phone besides tiny little scratches big deal phone working perfectly thats matters 😊👍🏽',positive
'got pulled box band broke husband hated used call said sounded like box nightmare get connect phone sent back horrible returning things',negative
'excellent article',positive
'item nothing problems refurbished hmmm sure',negative
'love phone exactly needed money great job saller thanks',positive
'good',positive
'days keeps working like great phone price kept buying name phones last one 200 lasted 2 years im hoping one least lasts long see lot ppl complaining battery find pretty decent apps working fast turn phone brightness cant seem figure turn vibration type big deal thofor ppl straight talk preprogrammed apn settings work least apn setting gets 4g works great message need setting',positive
'love phone want half cost big name phones',positive
'exactly advertised love phone',positive
'bien',positive
'love',positive
'great phone',positive
'liked product exactly said one scratch like description said',positive
'good almoust every area issues speaker low many people tell problema hear well come integrated widget flash use like flash light comes without earphone charger 1200 mili amps 2000 mili amps like almoust every pone category',positive
'phone basic fancy bells whistles bought always satasfied fix user may buy another one warningthey hold well wash',positive
'want agree persons reviewed warning us phones either fake refurbished indeed purchased two within days one starting giving problems returned thought ok maybe lemon couple months later one started give problems cant return course thats 300 drain worth buy elsewhere someone buys everything amazoncom',negative
'new phone long bruise screen 2cm isnt bruise 5 bruises screen',negative
'excellent thank',positive
'im really liking phone although high end phone ive found adequate really great bargain price touch screen responsive screen clarity also good find phone definitely fast enough terms bringing apps also like size ok trend large screen phones prefer size easy handle hold fits nicely carrying case youre market good smart phone wont break bank definitely recommend one',positive
'nice phone fit works good higher priced phonesonly couple issues one edge phone slight defect edge addition silicon case provided go top edge phone',positive
'good',positive
'good buy phone takes good pics told',positive
'good phonelike newno problemsg3 killerwas watchin 4k vids youtubethis thing better picture current tv',positive
'love love love new phone totally exceeded expectations',positive
'suffered battery shortage since start use smartphones years ago huawei mate 2 let use 5 days single full charge quality phone good using 7 weeks 299 battery life 1st thing considering buy smartphone one top smartphone market enough battery use joke isnt',positive
'bien',positive
'love phone love betterbthan old samsung galaxy ace memory easy use camera rivals point shoot cameras good buy',positive
'first experience online phone orderbut realy good excellent happy amazon shoping realy like amazon shipping order tracking system',positive
